Dates,latitude,longitude,u10,v10,t2m,valid_time
2025-02-04 00:00:00+00:00,67.2,26.4,-2.1503983,-0.4909712,242.81577,2025-02-04 02:00:00
2025-02-04 00:00:00+00:00,67.2,26.8,-2.0018005,-0.88591444,242.3977,2025-02-04 02:00:00
2025-02-05 00:00:00+00:00,67.6,26.4,-1.289177,5.7517376,258.5716,2025-02-05 02:00:00
2025-02-05 00:00:00+00:00,67.6,26.8,-1.2899857,6.223341,258.1204,2025-02-05 02:00:00
2025-02-05 00:00:00+00:00,67.2,26.4,-1.4969635,6.0619946,258.90234,2025-02-05 02:00:00
2025-02-05 00:00:00+00:00,67.2,26.8,-1.5188713,6.4740276,258.5322,2025-02-05 02:00:00
2025-02-06 00:00:00+00:00,67.6,26.4,3.6618538,1.7431469,266.8363,2025-02-06 02:00:00
2025-02-06 00:00:00+00:00,67.6,26.8,3.6806908,1.5826778,266.9869,2025-02-06 02:00:00
2025-02-06 00:00:00+00:00,67.2,26.4,3.5556755,1.7169552,266.91034,2025-02-06 02:00:00
2025-02-06 00:00:00+00:00,67.2,26.8,3.6167145,1.6027622,267.09396,2025-02-06 02:00:00
2025-02-07 00:00:00+00:00,67.6,26.4,4.4136543,3.895978,276.19336,2025-02-07 02:00:00
2025-02-07 00:00:00+00:00,67.6,26.8,4.3203583,3.9018412,275.87344,2025-02-07 02:00:00
2025-02-07 00:00:00+00:00,67.2,26.4,4.199486,4.114217,275.0939,2025-02-07 02:00:00
2025-02-07 00:00:00+00:00,67.2,26.8,4.299713,4.0762987,274.82877,2025-02-07 02:00:00
2025-02-08 00:00:00+00:00,67.6,26.4,2.0435991,3.1481857,270.37103,2025-02-08 02:00:00
2025-02-08 00:00:00+00:00,67.6,26.8,2.2043123,3.0525665,270.42316,2025-02-08 02:00:00
2025-02-08 00:00:00+00:00,67.2,26.4,1.9992266,3.3047714,270.42972,2025-02-08 02:00:00
2025-02-08 00:00:00+00:00,67.2,26.8,2.2666903,3.236496,270.48123,2025-02-08 02:00:00
2025-02-09 00:00:00+00:00,67.6,26.4,3.4982347,4.387271,269.0535,2025-02-09 02:00:00
2025-02-09 00:00:00+00:00,67.6,26.8,3.639577,4.2957335,269.20444,2025-02-09 02:00:00
2025-02-09 00:00:00+00:00,67.2,26.4,2.7299547,3.7689543,269.28586,2025-02-09 02:00:00
2025-02-09 00:00:00+00:00,67.2,26.8,2.8217974,3.7874937,269.3787,2025-02-09 02:00:00
2025-02-10 00:00:00+00:00,67.6,26.4,4.1438885,-0.25180262,268.66232,2025-02-10 02:00:00
2025-02-10 00:00:00+00:00,67.6,26.8,4.157728,-0.18643397,268.42365,2025-02-10 02:00:00
2025-02-10 00:00:00+00:00,67.2,26.4,3.831297,-0.094644725,267.31335,2025-02-10 02:00:00
2025-02-10 00:00:00+00:00,67.2,26.8,3.9604473,0.0108392835,267.14673,2025-02-10 02:00:00
2025-02-11 00:00:00+00:00,67.6,26.4,4.3006506,2.071889,270.3919,2025-02-11 02:00:00
2025-02-11 00:00:00+00:00,67.6,26.8,4.3640127,2.0437155,270.09323,2025-02-11 02:00:00
2025-02-11 00:00:00+00:00,67.2,26.4,4.097495,2.0565443,269.38736,2025-02-11 02:00:00
2025-02-11 00:00:00+00:00,67.2,26.8,4.2253637,2.0032606,269.14124,2025-02-11 02:00:00
2025-02-12 00:00:00+00:00,67.6,26.4,4.8449345,-2.869833,271.3283,2025-02-12 02:00:00
2025-02-12 00:00:00+00:00,67.6,26.8,5.040308,-2.8875332,271.34186,2025-02-12 02:00:00
2025-02-12 00:00:00+00:00,67.2,26.4,4.1590977,-3.6208553,272.01965,2025-02-12 02:00:00
2025-02-12 00:00:00+00:00,67.2,26.8,4.324503,-3.7151089,272.0754,2025-02-12 02:00:00
2025-02-13 00:00:00+00:00,67.6,26.4,1.9460926,-3.132184,263.24548,2025-02-13 02:00:00
2025-02-13 00:00:00+00:00,67.6,26.8,2.0395222,-3.1631575,263.44495,2025-02-13 02:00:00
2025-02-13 00:00:00+00:00,67.2,26.4,1.5147572,-3.2506266,262.69788,2025-02-13 02:00:00
2025-02-13 00:00:00+00:00,67.2,26.8,1.7183552,-3.248498,262.8496,2025-02-13 02:00:00
2025-02-14 00:00:00+00:00,67.6,26.4,1.9828472,-2.5136118,261.3479,2025-02-14 02:00:00
2025-02-14 00:00:00+00:00,67.6,26.8,2.0374355,-2.4565344,261.13153,2025-02-14 02:00:00
2025-02-14 00:00:00+00:00,67.2,26.4,1.7379894,-2.425931,260.46146,2025-02-14 02:00:00
2025-02-14 00:00:00+00:00,67.2,26.8,1.8142376,-2.4041529,260.6257,2025-02-14 02:00:00
2025-02-15 00:00:00+00:00,67.6,26.4,0.39722878,-4.459696,262.2439,2025-02-15 02:00:00
2025-02-15 00:00:00+00:00,67.6,26.8,0.39441353,-4.5494576,262.27536,2025-02-15 02:00:00
2025-02-15 00:00:00+00:00,67.2,26.4,0.09278542,-4.472416,263.00812,2025-02-15 02:00:00
2025-02-15 00:00:00+00:00,67.2,26.8,0.17493874,-4.512085,263.0356,2025-02-15 02:00:00
2025-02-16 00:00:00+00:00,67.6,26.4,1.3110827,-1.1499891,262.586,2025-02-16 02:00:00
2025-02-16 00:00:00+00:00,67.6,26.8,1.4292163,-0.9605055,262.14377,2025-02-16 02:00:00
2025-02-16 00:00:00+00:00,67.2,26.4,0.86664,-0.6550703,261.61514,2025-02-16 02:00:00
2025-02-16 00:00:00+00:00,67.2,26.8,1.0863665,-0.5064039,261.15506,2025-02-16 02:00:00
